"reference","slug","module_reference","part_reference","concept_reference","title","description","order","published","global_order","directory","permalink"
"introduction-informatique-introduction-module","introduction-module","informatique-web","introduction-informatique","","Module : Initiation à l'information et web","introduction au module : Initiation à l'information et web
","1","TRUE","1","introduction-informatique","introduction-informatique/introduction-module"
"introduction-informatique-introduction","introduction","informatique-web","introduction-informatique","","Introduction à l'informatique","introduction à la partie","2","TRUE","2","introduction-informatique","introduction-informatique/introduction"
"introduction-informatique-apprentissage","apprentissage","informatique-web","introduction-informatique","","Apprentissage","","3","TRUE","3","introduction-informatique","introduction-informatique/apprentissage"
"introduction-informatique-concepts-base-informatique","concepts-base-informatique","informatique-web","introduction-informatique","concepts-base-informatique","Concepts de base de l'informatique","","4","TRUE","4","introduction-informatique","introduction-informatique/concepts-base-informatique"
"introduction-informatique-fonctionnement-ordinateur","fonctionnement-ordinateur","informatique-web","introduction-informatique","fonctionnement-ordinateur","Fonctionnement de l'ordinateur","","5","TRUE","5","introduction-informatique","introduction-informatique/fonctionnement-ordinateur"
"introduction-informatique-rôle-langages-programmation","rôle-langages-programmation","informatique-web","introduction-informatique","rôle-langages-programmation","Rôle des langages de programmation","","6","TRUE","6","introduction-informatique","introduction-informatique/rôle-langages-programmation"
"introduction-informatique-conclusion","conclusion","informatique-web","introduction-informatique","","Conclusion","","7","TRUE","7","introduction-informatique","introduction-informatique/conclusion"
"introduction-web-introduction","introduction","informatique-web","introduction-web","","Introduction","","1","TRUE","8","introduction-web","introduction-web/introduction"
"introduction-web-définition-web-internet","définition-web-internet","informatique-web","introduction-web","définition-web-internet","Définition de Web et Internet","","2","TRUE","9","introduction-web","introduction-web/définition-web-internet"
"introduction-web-définition-html-css-javascript","définition-html-css-javascript","informatique-web","introduction-web","définition-html-css-javascript","Définition de HTML, CSS, et JavaScript","","3","TRUE","10","introduction-web","introduction-web/définition-html-css-javascript"
"introduction-web-concepts-client-serveur","concepts-client-serveur","informatique-web","introduction-web","concepts-client-serveur","Concepts de base : client/serveur, requête, réponse","","4","TRUE","11","introduction-web","introduction-web/concepts-client-serveur"
"introduction-web-définition-http","définition-http","informatique-web","introduction-web","définition-http","Définition de HTTP","","5","TRUE","12","introduction-web","introduction-web/définition-http"
"introduction-web-conclusion","conclusion","informatique-web","introduction-web","","Conclusion","","6","TRUE","13","introduction-web","introduction-web/conclusion"
"environnement-développement-introduction","introduction","informatique-web","environnement-développement","","Introduction","","1","FALSE","14","environnement-développement","environnement-développement/introduction"
"environnement-développement-installation-éditeur-vs-code","installation-éditeur-vs-code","informatique-web","environnement-développement","installation-éditeur-vs-code","Installation d'un éditeur de code (VS Code)","","2","FALSE","15","environnement-développement","environnement-développement/installation-éditeur-vs-code"
"environnement-développement-configuration-vs-code","configuration-vs-code","informatique-web","environnement-développement","configuration-vs-code","Configuration de l'éditeur et des extensions utiles","","3","FALSE","16","environnement-développement","environnement-développement/configuration-vs-code"
"environnement-développement-réalisation","réalisation","informatique-web","environnement-développement","","Réalisation","","4","FALSE","17","environnement-développement","environnement-développement/réalisation"
"environnement-développement-conclusion","conclusion","informatique-web","environnement-développement","","Conclusion","Tutorat - questions","5","FALSE","18","environnement-développement","environnement-développement/conclusion"
"variable-affectation-introduction","introduction","programmation","variable-affectation","","Introduction","- introduction au module 
- introduction à la partie","1","FALSE","19","variable-affectation","variable-affectation/introduction"
"variable-affectation-mini-projet","mini-projet","programmation","variable-affectation","","Mini-projet","","2","FALSE","20","variable-affectation","variable-affectation/mini-projet"
"variable-affectation-apprentissage","apprentissage","programmation","variable-affectation","","Apprentissage","","3","FALSE","21","variable-affectation","variable-affectation/apprentissage"
"variable-affectation-installation-nodejs","installation-nodejs","programmation","variable-affectation","","installation-nodejs","","4","FALSE","22","variable-affectation","variable-affectation/installation-nodejs"
"variable-affectation-variables-types-données","variables-types-données","programmation","variable-affectation","","variables-types-données","","5","FALSE","23","variable-affectation","variable-affectation/variables-types-données"
"variable-affectation-opérateurs","opérateurs","programmation","variable-affectation","","opérateurs","","6","FALSE","24","variable-affectation","variable-affectation/opérateurs"
"variable-affectation-réalisation","réalisation","programmation","variable-affectation","","Réalisation","","7","FALSE","25","variable-affectation","variable-affectation/réalisation"
"variable-affectation-conclusion","conclusion","programmation","variable-affectation","","Conclusion","","8","FALSE","26","variable-affectation","variable-affectation/conclusion"
"structures-contrôle-introduction","introduction","programmation","structures-contrôle","","Introduction","","1","FALSE","27","structures-contrôle","structures-contrôle/introduction"
"structures-contrôle-mini-projet-page-web","mini-projet-page-web","programmation","structures-contrôle","","Mini-projet : page web","","2","FALSE","28","structures-contrôle","structures-contrôle/mini-projet-page-web"
"structures-contrôle-apprentissage","apprentissage","programmation","structures-contrôle","","Apprentissage","","3","FALSE","29","structures-contrôle","structures-contrôle/apprentissage"
"structures-contrôle-conditions","conditions","programmation","structures-contrôle","conditions","Structures de contrôle - conditions","","4","FALSE","30","structures-contrôle","structures-contrôle/conditions"
"structures-contrôle-boucles","boucles","programmation","structures-contrôle","boucles","Structures de contrôle - boucles","","5","FALSE","31","structures-contrôle","structures-contrôle/boucles"
"structures-contrôle-conception","conception","programmation","structures-contrôle","","Conception","","6","FALSE","32","structures-contrôle","structures-contrôle/conception"
"structures-contrôle-réalisation","réalisation","programmation","structures-contrôle","","Réalisation","","7","FALSE","33","structures-contrôle","structures-contrôle/réalisation"
"structures-contrôle-conclusion","conclusion","programmation","structures-contrôle","","Conclusion","","8","FALSE","34","structures-contrôle","structures-contrôle/conclusion"
